sol_id,power,kill_count
1,1,1
2,1,0
3,1,0
4,1,2
5,1,0
6,1,0
7,1,0
8,1,0
13,1,0
16,1,0
17,1,0
18,1,0
21,1,0
22,1,0
23,1,1
25,1,0
26,1,0
27,1,2
28,1,1
30,1,0
33,1,0
34,1,0
35,1,0
37,1,0
38,1,1
39,1,0
41,1,0
42,1,0
43,1,0
47,1,0
48,1,0
49,1,0
50,1,0
51,1,0
52,1,0
53,1,0
54,1,0
56,1,0
57,1,0
58,1,0
60,1,0
61,1,1
62,1,0
64,1,0
66,1,0
67,1,0
68,1,1
69,1,0
71,1,0
72,1,0
74,1,0
75,1,0
76,1,0
77,1,2
80,1,0
81,1,0
82,1,0
83,1,1
84,1,0
86,1,0
88,1,0
89,1,0
90,1,0
91,1,0
92,1,0
94,1,0
97,1,2
98,1,0
99,1,0
100,1,0
