sol_id,power,kill_count
1,1,2
2,1,0
3,1,1
4,1,0
5,1,3
6,1,0
7,1,1
8,1,0
9,1,0
10,1,0
11,1,2
12,1,1
13,1,0
14,1,1
15,1,1
16,1,1
17,1,0
18,1,0
19,1,1
20,1,0
21,1,1
22,1,1
23,1,0
24,1,0
25,1,0
26,1,1
27,1,1
28,1,0
29,1,1
30,1,0
31,1,0
32,1,1
33,1,0
34,1,1
35,1,0
36,1,1
37,1,1
38,1,0
40,1,1
41,1,1
42,1,0
43,1,0
44,1,1
45,1,2
46,1,0
48,1,1
49,1,2
50,1,0
51,1,1
52,1,0
53,1,2
54,1,0
55,1,0
56,1,1
57,1,0
58,1,0
59,1,1
60,1,1
61,1,0
62,1,0
63,1,1
64,1,0
65,1,0
66,1,0
67,1,0
68,1,0
69,1,0
70,1,0
71,1,0
72,1,1
73,1,0
75,1,1
76,1,1
77,1,2
78,1,1
79,1,0
80,1,0
81,1,0
82,1,0
83,1,1
84,1,1
85,1,0
86,1,0
87,1,0
88,1,0
89,1,0
90,1,0
91,1,0
92,1,0
93,1,0
94,1,0
95,1,1
96,1,0
97,1,1
98,1,0
99,1,0
100,1,0
